s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
27874,28908,33610,37317,33277,30971,32641,19620,31303,29763,25530,32131
27857,28840,33534,37260,33249,31048,32525,19604,31427,29608,25658,32138
27896,28783,33475,37139,33051,31215,32676,19760,31330,29748,25606,32188
27401,28240,33360,36956,32969,31144,32583,19506,31316,29791,25560,32535
27027,27399,32400,35622,32268,31209,32781,19183,32036,29593,26157,33466
26636,27105,32600,34794,31805,31243,32636,20932,31144,29968,26188,33360
26925,26760,32693,34514,31603,31298,32380,21129,32164,30132,27422,31636
26990,26686,33129,34660,31622,30802,31731,21431,32489,30967,27565,30342
27069,26655,33266,34637,31651,30490,31515,21604,32970,31348,28176,29984
26912,26662,33255,34727,31706,30422,31522,22883,33431,31998,29172,29584
27023,26675,33126,34521,31734,29878,31885,27309,32660,32436,29923,29296
26977,26770,32905,34680,31645,29526,32324,28400,31078,33844,29730,28521
27771,26843,32754,34888,31731,29557,32900,28293,30892,33564,27306,28494
28245,27200,32924,35388,32160,29937,33497,26482,30929,33868,26175,28646
28566,27383,32952,35588,32253,30124,33595,26186,30810,34001,25714,28747
28564,27409,32827,35590,32272,30151,33566,26210,30613,33988,25286,28673
28576,27528,32746,35740,32307,30425,33539,25994,30554,34113,25501,28688
27894,27571,32529,35775,32198,30735,33379,25831,30559,34144,26265,28713
27675,27536,32412,35649,32072,31616,32635,26011,30545,34197,28115,28824
27560,27464,32420,35281,31776,32442,32380,27030,30755,33999,28473,28894
27637,27484,32515,34834,31597,32297,32327,27744,30909,33872,28626,29116
27737,27489,32633,34705,31605,31748,32615,30020,31168,33834,27940,29317
27762,27483,33180,35062,31720,30653,33324,31239,30639,34150,27266,29462
27627,27469,33420,35105,31759,30297,33665,30805,30124,33940,25439,29948
27495,27465,33423,35163,31728,30116,34310,29443,29290,33738,25867,31405
27415,27503,33285,35252,31685,30479,34599,27635,28554,33120,26494,32657
27173,27274,32708,34976,31630,30770,34691,26971,28585,32631,26566,33968
27091,27073,32411,34970,31720,31390,35023,26073,29466,32989,26267,34663
26383,27246,31780,35823,32628,30721,34900,21072,30190,33628,25915,35453
27885,28259,33721,37120,32993,30409,34534,20027,31011,33407,26818,33086
29140,28723,34004,37462,33129,30539,34487,19655,31069,33119,27371,32292
28141,28835,33847,37505,33237,30464,34219,20157,31015,33009,27571,32215
27843,28797,33666,37523,33160,30397,34099,20110,30950,32848,27788,32060
27778,28800,33427,37424,33408,30211,33593,20015,30732,32697,27922,31886
27624,28841,33244,37447,33340,30223,33328,19830,30698,32500,27966,31810
27532,28914,33345,37544,33409,30211,33182,19795,30445,32295,28085,31842
27495,28926,33350,37480,33528,30246,33085,20175,30070,32355,27844,32026
27625,28962,33392,37505,33392,30334,33147,20336,30126,32269,27500,32063
27758,28967,33375,37582,33646,30355,33167,20345,30070,32327,26955,32163
27753,28933,33332,37533,33412,30516,33235,20668,30193,32186,26559,32305
28150,28997,33495,37526,33167,30713,33499,20622,30029,32353,26465,32312
30215,28952,33600,37469,33253,30776,33659,20801,29896,32291,26552,32420
31299,28703,34646,36823,32268,30495,34093,20655,29979,32473,26557,33577
26489,26350,33094,34685,31856,30443,33947,17849,30220,32576,26647,33440
26684,25715,33217,34900,32058,30384,33617,18086,31306,31490,25072,32410
26671,25571,33457,35375,32118,30367,35022,19344,31559,31716,30596,32495
26508,25191,33575,33756,32652,30596,35688,19720,31206,32143,30506,32015
26700,24983,33550,34020,32849,30589,35559,31172,29238,32805,27501,30475
26064,25171,33798,34387,33163,30316,34309,31865,31251,33423,28494,29605
27003,26216,33515,34956,32450,30484,33694,31841,31283,33827,28307,28560
28539,27120,33546,35175,32397,30747,33914,30287,32048,34006,25901,28530
28741,27475,33722,35581,32558,30835,34244,29737,32371,33894,25318,28442
28320,27443,33612,35622,32536,31428,34350,29791,32520,33962,25682,28740
27714,27340,33452,35463,32315,31530,33953,29965,32373,33946,26581,28623
27582,26919,32903,34872,31961,31519,32690,30427,32175,33875,28456,28610
27824,26649,33395,34807,32228,31322,33230,30752,31903,33829,27445,29034
27897,26569,33701,35131,32198,30994,33387,28455,32667,34177,26640,29313
27710,26452,34364,35154,32234,31074,33491,25209,33275,33949,26060,29520
27394,26428,34647,35028,32110,31085,33520,25137,33244,33714,25465,30021
27364,26457,34715,35062,32145,31125,33633,24498,32691,33291,24565,30550
27392,26557,34818,34900,32025,31089,33767,25082,31347,32712,24525,31092
27454,26748,35037,35021,31999,31232,33897,25106,30963,32666,24508,32913
27527,26842,35090,34965,31949,31067,33987,23953,30224,33006,24202,34429
27698,27110,35303,35022,31881,31062,34100,23430,30130,33081,24012,34887
27652,27252,35221,34885,31779,31107,34047,23262,29955,33046,23879,35440
27600,27353,35140,34820,31706,31078,33882,22152,29325,33087,24085,36032
26878,27690,34899,34804,31552,30896,33606,20663,29193,33545,24186,36444
26787,28128,34803,34674,31590,30691,33482,20509,29386,34844,24655,37326
26834,28090,34649,34573,31607,30394,33782,20327,29531,35217,29500,37577
26625,27890,34185,34789,31755,29895,34287,20225,29437,35018,29811,37644
25275,27211,33810,34825,32115,29824,34824,19690,29405,35801,30545,37192
25019,27325,33798,36165,33070,29845,34785,19213,29499,34996,29942,35706
29497,28417,35311,36591,33125,30238,34348,18965,29727,34217,24409,34558
29601,29060,35008,36968,33454,30399,34305,18998,29684,33387,24349,33491
29315,29115,34866,37175,33388,30510,34220,18972,29713,33057,25081,33143
29355,29112,34515,37187,33402,30527,34018,18972,29713,32927,25434,33025
28302,29073,34295,37159,33402,30493,33853,18948,29602,32791,25901,32820
27726,29035,33850,37293,33383,30402,33416,18941,29576,32500,26384,32652
27641,29114,33760,37252,33356,30503,33351,19105,29562,32566,26510,32491
27837,29122,33857,37278,32869,30617,33364,19673,29584,32360,29325,33087
