s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
24839,25833,30572,32915,31264,27383,33583,35165,36336,32323,23501,30018
24823,26076,31831,32943,31121,27600,33865,36969,35833,32605,23369,30045
24941,26200,32019,32770,31143,27939,33914,37115,36351,32468,24026,29933
25895,26293,32120,32726,31176,28012,33872,37617,36466,32561,24289,30101
25942,26313,32147,32846,31052,27945,33963,37851,36575,32523,24563,30349
25631,26402,32140,33001,30816,27991,34040,38308,36985,32452,28204,30487
25520,26335,31699,32603,30731,27954,33965,37922,37239,32270,25289,30862
25653,26246,31619,32881,30942,27484,33776,31211,37414,30954,22369,32309
24722,25775,31122,33677,31692,26424,34045,25473,36906,33005,21555,32868
25738,27167,31987,34675,31218,26644,34364,24795,35951,32860,21756,33776
25959,27467,31587,34739,31416,26576,33950,24856,35848,31768,22490,33207
25431,27796,31719,34849,32118,26593,33560,24686,35292,30724,22436,32684
25530,27989,31759,35082,32009,26621,33625,25415,35225,30765,22476,31958
25675,28015,31755,35021,32016,26657,33636,25540,34944,30782,22577,31594
27530,27212,33815,34045,31564,26625,32620,22765,34975,31418,23003,30656
25637,26421,31790,33918,32200,26948,33029,29484,36375,33531,22534,30249
25360,26087,31842,33029,31460,27673,33064,29129,36893,32533,23863,29753
25471,26246,32506,32854,30705,27990,33533,35457,36731,32835,23618,29731
24674,26426,32431,32660,30865,28100,33400,36782,36533,32693,24003,29766
24831,26480,32401,32637,30879,28318,33350,37171,36875,32652,24249,29855
24919,26545,32265,32460,30687,28436,33341,37283,37443,32480,24461,29825
25537,26387,31653,32461,30572,28375,33390,36652,37567,32346,27955,30230
25812,26345,31306,33230,31080,27686,33329,32656,36610,31425,24423,31487
24310,26405,30218,34030,31658,26552,33408,26259,37391,30611,22746,32370
24883,26965,30797,34738,30980,26645,33760,25606,37088,31949,22211,33631
24975,27042,30806,34729,31472,26610,33580,23736,36773,31253,22118,33066
24777,27175,30844,34694,31870,26594,33267,24752,36730,30869,22624,32725
25080,27642,31464,34867,31868,26589,33355,24711,35273,30376,22150,31617
25035,27703,31498,35125,31897,26637,33581,24789,35219,30618,21410,31465
26600,27056,32178,34235,31673,26917,31965,24401,34927,31160,22210,30890
25566,25980,30373,33235,31194,27036,32548,29076,36754,33894,23493,30178
25517,25978,30621,32438,31080,27777,33183,32789,36400,32935,23710,29788
25702,26187,31067,32610,30954,28082,33564,38084,36246,32957,23768,29643
25975,26340,31376,32471,31053,28142,33642,37282,36543,32945,24547,30045
26108,26429,31674,32692,30974,28204,33690,37140,36921,32786,24709,30323
25184,26592,31875,32822,30724,28292,33670,37358,37120,32643,24789,30334
26280,26642,31812,32899,30610,28268,33800,37647,37413,32558,24941,30455
26311,26367,31097,32533,30655,27554,33801,34334,35914,32427,23927,30733
25515,25874,30180,33430,31416,26503,33860,30331,36914,31598,22550,32685
24846,26485,30673,34262,31036,26715,34319,24607,36675,32536,21489,33643
25475,27102,31250,34612,31114,26642,34114,24049,36715,31547,21101,33463
26922,27004,31704,34420,32408,27310,34017,24520,36398,31283,21978,32446
28176,27173,31958,34530,31546,27131,33292,24525,35760,30759,22402,31480
28612,27487,32388,34727,31533,27017,33319,23613,35573,30726,21519,31254
28138,27038,33303,33908,31606,27031,33138,23783,35480,30803,22590,30549
25531,26336,30720,33931,30293,27410,32784,28329,36321,33494,22474,30264
25707,26110,30939,33235,30963,28106,33895,33341,36526,33250,22868,30040
